년도,계절,총 이용수(건)
2012,봄,10297630
2013,봄,10079210
2014,봄,10161297
2015,봄,10902729
2016,봄,11137906
2017,봄,13727208
2018,봄,15586233
2019,봄,15030232
2020,봄,14015927
2021,봄,6601801
2012,여름,12815400
2013,여름,12661794
2014,여름,12019897
2015,여름,13568259
2016,여름,14423842
2017,여름,15330790
2018,여름,18202384
2019,여름,16354826
2020,여름,11376559
2021,여름,8405876
2012,가을,12926240
2013,가을,11927277
2014,가을,9792225
2015,가을,14647849
2016,가을,13751857
2017,가을,16605187
2018,가을,17153712
2019,가을,15598563
2020,가을,9932329
2021,가을,7202722
2012,겨울,12961233
2013,겨울,14199436
2014,겨울,12936450
2015,겨울,15195211
2016,겨울,15356947
2017,겨울,18374299
2018,겨울,19229212
2019,겨울,18872040
2020,겨울,9670703
2021,겨울,7495970
